Timestamp,Shape,Color
2024-10-13T02:01:08.872241,Hexagon,undefined
2024-10-13T02:01:11.068720,Rectangle,undefined
2024-10-13T02:01:13.267417,Circle,undefined
2024-10-13T02:01:15.447096,Hexagon,undefined
2024-10-13T02:01:17.639353,Pentagon,undefined
2024-10-13T02:01:19.640078,Hexagon,undefined
2024-10-13T02:01:21.827953,Hexagon,undefined
2024-10-13T02:01:24.014932,Pentagon,undefined
2024-10-13T02:01:26.178779,Pentagon,undefined
2024-10-13T02:01:28.371651,Triangle,undefined
2024-10-13T02:01:30.558383,Triangle,undefined
2024-10-13T02:01:32.748814,Circle,undefined
2024-10-13T02:01:34.936857,Circle,undefined
2024-10-13T02:01:37.125646,Circle,undefined
2024-10-13T02:01:39.316263,Circle,undefined
2024-10-13T02:01:41.486927,Rectangle,red
2024-10-13T02:01:43.681493,Triangle,undefined
2024-10-13T02:01:45.861659,Rectangle,undefined
2024-10-13T02:01:48.058276,Triangle,undefined
2024-10-13T02:01:50.249907,Triangle,red
2024-10-13T02:01:52.427216,Triangle,red
2024-10-13T02:01:54.428074,Rectangle,undefined
2024-10-13T02:01:56.605517,Rectangle,undefined
2024-10-13T02:01:58.608798,Pentagon,undefined
2024-10-13T02:02:00.765605,Rectangle,undefined
2024-10-13T02:02:02.774788,Rectangle,undefined
2024-10-13T02:02:05.560178,Rectangle,undefined
2024-10-13T02:02:07.751554,Hexagon,undefined
2024-10-13T02:02:09.918480,Hexagon,undefined
2024-10-13T02:02:11.933564,Rectangle,undefined
2024-10-13T02:02:14.108891,Rectangle,undefined
2024-10-13T02:02:16.313729,Rectangle,undefined
2024-10-13T02:02:18.497042,Rectangle,undefined
2024-10-13T02:02:20.680004,Rectangle,undefined
2024-10-13T02:02:22.869677,Rectangle,undefined
2024-10-13T02:02:25.042196,Circle,undefined
2024-10-13T02:02:27.221731,Rectangle,undefined
2024-10-13T02:02:29.409356,Hexagon,red
2024-10-13T02:02:31.592080,Triangle,red
2024-10-13T02:02:33.784338,Circle,red
2024-10-13T02:02:35.953783,Triangle,undefined
2024-10-13T02:02:37.961905,Rectangle,undefined
2024-10-13T02:02:40.149449,Rectangle,undefined
2024-10-13T02:02:42.149525,Rectangle,undefined
2024-10-13T02:02:44.520704,Hexagon,undefined
2024-10-13T02:02:46.706966,Triangle,undefined
2024-10-13T02:02:48.890804,Circle,red
