Timestamp,Shape,Color
2024-10-07 16:50:34.560315,Rectangle,undefined
2024-10-07 16:50:34.724810,Rectangle,undefined
2024-10-07 16:50:34.734334,Pentagon,undefined
2024-10-07 16:50:34.750710,Rectangle,undefined
2024-10-07 16:50:34.751444,Rectangle,undefined
2024-10-07 16:50:34.788334,Rectangle,undefined
2024-10-07 16:50:34.788840,Rectangle,undefined
2024-10-07 16:50:34.820512,Triangle,undefined
2024-10-07 16:50:34.820979,Rectangle,undefined
2024-10-07 16:50:34.890207,Pentagon,undefined
2024-10-07 16:50:34.890616,Rectangle,undefined
2024-10-07 16:50:34.921405,Triangle,undefined
2024-10-07 16:50:34.922154,Rectangle,undefined
2024-10-07 16:50:34.952404,Triangle,undefined
2024-10-07 16:50:34.953033,Rectangle,undefined
2024-10-07 16:50:34.984156,Circle,undefined
2024-10-07 16:50:34.984572,Rectangle,undefined
2024-10-07 16:50:35.020481,Circle,undefined
2024-10-07 16:50:35.020949,Rectangle,undefined
2024-10-07 16:50:35.053417,Rectangle,undefined
2024-10-07 16:50:35.085481,Triangle,undefined
2024-10-07 16:50:35.086115,Rectangle,undefined
2024-10-07 16:50:35.121466,Circle,undefined
2024-10-07 16:50:35.122112,Rectangle,undefined
2024-10-07 16:50:35.153486,Rectangle,undefined
2024-10-07 16:50:35.185148,Triangle,undefined
2024-10-07 16:50:35.185752,Rectangle,undefined
2024-10-07 16:50:35.219781,Circle,undefined
2024-10-07 16:50:35.220658,Rectangle,undefined
2024-10-07 16:50:35.292324,Circle,undefined
2024-10-07 16:50:35.294156,Circle,undefined
2024-10-07 16:50:35.324693,Triangle,undefined
2024-10-07 16:50:35.326481,Rectangle,undefined
2024-10-07 16:50:35.355034,Triangle,undefined
2024-10-07 16:50:35.356148,Rectangle,undefined
2024-10-07 16:50:35.390512,Rectangle,undefined
2024-10-07 16:50:35.425708,Rectangle,undefined
2024-10-07 16:50:35.427350,Rectangle,undefined
2024-10-07 16:50:35.456752,Triangle,undefined
2024-10-07 16:50:35.458462,Rectangle,undefined
2024-10-07 16:50:35.494010,Triangle,undefined
2024-10-07 16:50:35.495677,Rectangle,undefined
2024-10-07 16:50:35.556349,Triangle,undefined
2024-10-07 16:50:35.557862,Rectangle,undefined
2024-10-07 16:50:35.593252,Triangle,undefined
2024-10-07 16:50:35.594911,Rectangle,undefined
2024-10-07 16:50:35.624075,Circle,undefined
2024-10-07 16:50:35.625100,Rectangle,undefined
2024-10-07 16:50:35.653454,Circle,undefined
2024-10-07 16:50:35.688154,Triangle,undefined
2024-10-07 16:50:35.689683,Rectangle,undefined
2024-10-07 16:50:35.724620,Rectangle,undefined
2024-10-07 16:50:35.726185,Rectangle,undefined
